اسم البطولة,الفريق الاول ,الفريق التاني ,التوقيت
الدوري الإنجليزي,بورنموث,نيوكاسل,16:00
الدوري الإنجليزي,سندرلاند,أستون فيلا,16:00
الدوري الإنجليزي,أرسنال,مانشستر سيتي,18:30
الدوري الإسباني,مايوركا,اتلتيكو مدريد,17:15
الدوري الإسباني,إلتشي,ريال أوفييدو,19:30
الدوري الإسباني,برشلونة,خيتافي,22:00
دوري أبطال أفريقيا,أيجل نوار ماكامبا,جيبوتي تيليكوم,16:00
الكونفيدرالية الأفريقية,ديكيداها,نادي الزمالة,16:00
الدوري الإيطالي,كريمونيسي,بارما,16:00
الدوري الإيطالي,تورينو,أتالانتا,16:00
الدوري الإيطالي,فيورنتينا,كومو,19:00
الدوري الإيطالي,إنتر ميلان,ساسولو,21:45
الدوري الفرنسي,نادي باريس,ستراسبورج,16:00
الدوري الفرنسي,موناكو,ميتز,18:15
الدوري الفرنسي,اوكسير,تولوز,18:15
الدوري الفرنسي,لوهافر,لوريان,18:15
الدوري الفرنسي,مارسيليا,باريس سان جيرمان,21:45
الدوري الألماني,آ. فرانكفورت,يونيون برلين,16:30
الدوري الألماني,باير ليفركوزن,مونشنجلادباخ,18:30
الدوري الألماني,بروسيا دورتموند,فولفسبورج,20:30
بطولة العالم للكرة الطائرة للرجال,بلجيكا,فنلندا,15:00
كأس خادم الحرمين الشريفين,الباطن,الاتفـــــاق,18:30
كأس خادم الحرمين الشريفين,الرائد,الأخدود,18:35
كأس خادم الحرمين الشريفين,الفيصلي,التعاون,21:00
الدوري التركي,إسطنبول باشاكشهير,ألانيا سبور,17:00
الدوري التركي,كوجالي سبور,ريزه سبور,17:00
الدوري التركي,قاسم باشا,فنربخشة,20:00
الدوري التركي,سامسون سبور,فاتح كاراجومروك,20:00
الدوري البرتغالي,تونديلا,إستريلا,17:30
الدوري البرتغالي,جل فيسنتي,إستوريل برايا,20:00
الدوري البرتغالي,كازا بيا,فاماليكاو,22:30
الدوري الإماراتي,البطائح,الوصل,16:30
الدوري الإماراتي,الشــارقة,عجمان,19:15
الدوري التونسي,النجم الرياضي بالمتلوي,الافريقي التونسي,17:30
الدوري التونسي,إتحاد بن قردان,شبيبة العمران,17:30
دوري نجوم قطر,ام صلال,السيلية,18:00
دوري نجوم قطر,الأهلي القطري,الريان,20:00
دوري نجوم قطر,نادي قطر,الشحانية,20:00
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,18:00
الدوري المغربي,الاتحاد التوركي,أولمبيك الدشيرة,20:00
